Username,Face_Present_Seconds,Face_Absent_Seconds,Presence_Ratio
Raju,0.4,0.0,1.0000
Hira,18.6,1.8,0.9133
Tina,19.9,2.6,0.8853
Gia,26.6,2.0,0.9309
Nita,2.7,13.4,0.1667
Priyanka,11.1,7.3,0.6038
